"","x","y","date","angle","dist","dist_smoothed","speed","speed_smoothed","spatial_angle","abs_spatial_angle","speed_persistance","speed_rotation"
"1",491551.865249524,7869734.75688029,2015-07-23 06:28:00,0.805958697767374,6.29398637459312,6.67297041342437,47.2048978094484,50.0472781006828,-0.425416975082071,0.425416975082071,42.9973707314544,-19.4814908921863
"2",491558.138384671,7869735.26877863,2015-07-23 06:36:00,0.325702621764921,10.1377474041903,8.21586688939172,76.0331055314273,61.6190016704379,-0.463596943707287,0.463596943707287,68.0077996901154,-33.9995929102439
"3",491567.975156424,7869732.81687245,2015-07-23 06:44:00,0.0340159246986108,15.0764499922315,12.6070986982109,113.073374941736,94.5532402365816,0.322290805420832,0.322290805420832,107.251488883874,35.8148887043728
"4",491582.719555897,7869729.67012357,2015-07-23 06:52:00,1.5152951354395,48.9274542485174,32.0019521203744,366.95590686388,240.014640902808,1.52379597340616,1.52379597340616,17.2407081149201,366.550672576097
"5",491595.570305077,7869776.87980504,2015-07-23 07:00:00,0.289411554968339,300.655777996607,174.791616122562,2254.91833497455,1310.93712091922,-0.289411554991898,0.289411554991898,2161.14073885091,-643.527314325776
"6",491754.04437789,7870032.37905179,2015-07-23 07:08:00,0.100766736540262,245.480292326194,273.068035161401,1841.10219244646,2048.0102637105,-0.100766736507897,0.100766736507897,1831.76288285533,-185.208056046885
"7",491903.764852491,7870226.91530395,2015-07-23 07:16:00,0.503665051673469,85.2414289941262,165.36086066016,639.310717455946,1240.2064549512,-0.503665051735129,0.503665051735129,559.920826355012,-308.556091607275
"8",491981.901176531,7870260.98605508,2015-07-23 07:24:00,0.604511613720767,180.444011385831,132.842720189979,1353.33008539373,996.320401424839,-0.604511613730083,0.604511613730083,1113.4926233209,-769.179106477648
"9",492158.983661231,7870226.31856516,2015-07-23 07:32:00,0.606473615361081,70.6771006913525,125.560556038592,530.078255185144,941.704170289438,0.606473615384995,0.606473615384995,435.545725616193,302.130563693232
"10",492223.714083255,7870254.69505237,2015-07-23 07:40:00,0.643495608002356,277.010698067116,173.843899379234,2077.58023550337,1303.82924534426,-0.64349560794147,0.64349560794147,1662.07104545415,-1246.53899851436
"11",492493.408145898,7870191.44918753,2015-07-23 07:48:00,0.238399890598135,349.993200366909,313.501949217013,2624.94900275182,2351.26461912759,0.238399890595678,0.238399890595678,2550.70778381807,619.876655970932
"12",492843.389998635,7870194.26753065,2015-07-23 07:56:00,0.0872996817018748,296.425435703726,323.209318035317,2223.19076777794,2424.06988526488,-0.0872996817283316,0.0872996817283316,2214.7244178189,-193.837413957643
"13",493138.885131904,7870170.80127516,2015-07-23 08:04:00,0.0360464098322108,135.475828385332,215.950632044529,1016.06871288999,1619.62974033397,-0.0360464098214324,0.0360464098214324,1015.40867314222,-36.6176982003135
"14",493273.461545798,7870155.21638184,2015-07-23 08:12:00,0.038336217384137,296.824078436155,216.149953410744,2226.18058827116,1621.12465058058,0.0383362174426823,0.0383362174426823,2224.54491813073,85.3224402725767
"15",493569.407100408,7870132.39616611,2015-07-23 08:20:00,0.0334929535700465,221.762469842353,259.293274139254,1663.21852381765,1944.69955604441,-0.0334929535422186,0.0334929535422186,1662.28573009929,-55.6956863538018
"16",493789.818277884,7870107.95223282,2015-07-23 08:28:00,0.182583554596329,202.524255716566,212.143362779459,1518.93191787424,1591.07522084595,0.182583554622005,0.182583554622005,1493.6840449574,275.793663772051
"17",493991.815872447,7870122.54832629,2015-07-23 08:36:00,0.065600821654406,339.67006477146,271.097160244013,2547.52548578595,2033.2287018301,0.0656008216766408,0.0656008216766408,2542.04585437218,166.999925144242
"18",494328.269136298,7870169.18472994,2015-07-23 08:44:00,0.0818345682116237,433.006229642204,386.338147206832,3247.54672231653,2897.53610405124,0.0818345682049318,0.0818345682049318,3236.67854737594,265.465053416149
"19",494750.879521129,7870263.49728235,2015-07-23 08:52:00,0.00427902103579714,404.20564608677,418.605937864487,3031.54234565077,3139.54453398365,-0.00427902105810464,0.00427902105810464,3031.51459189079,-12.9719939492436
"20",495145.753892401,7870349.84793516,2015-07-23 09:00:00,0.0448022528361884,287.050117430224,345.627881758497,2152.87588072668,2592.20911318873,0.0448022528463728,0.0448022528463728,2150.71557082461,96.4214251462619
"21",495423.149458727,7870423.66845873,2015-07-23 09:08:00,0.23192942378695,355.916253212449,321.483185321336,2669.37189909337,2411.12388991002,-0.231929423780981,0.231929423780981,2597.89871293436,-613.570381458644
"22",495778.924577205,7870433.69065272,2015-07-23 09:16:00,0.141986450023787,354.613010298966,355.264631755707,2659.59757724224,2664.4847381678,-0.14198645000894,0.14198645000894,2632.83364066517,-376.359261151606
"23",496131.24290583,7870393.41432731,2015-07-23 09:24:00,0.0570425827617643,320.831778263406,337.722394281186,2406.23833697554,2532.91795710889,-0.0570425827367504,0.0570425827367504,2402.3246215503,-137.183625203698
"24",496447.402670126,7870338.86129455,2015-07-23 09:32:00,0.152962594108373,378.683086148872,349.757432206139,2840.12314611654,2623.18074154604,0.152962594083792,0.152962594083792,2806.96191045466,432.740474607668
"25",496826.025064794,7870332.08176721,2015-07-23 09:40:00,0.110210558858444,320.006814467377,349.344950308124,2400.05110850532,2620.08712731093,0.110210558873325,0.110210558873325,2385.4899051352,263.975824528823
"26",497144.669533749,7870361.57860959,2015-07-23 09:48:00,0.197542362998504,226.580410344311,273.293612405844,1699.35307758233,2049.70209304383,-0.197542362991791,0.197542362991791,1666.30384593239,-333.515180043527
